id,brand_id,name
1,1,"500"
2,1,"595"
3,1,"695"
4,2,"Cobra"
5,3,"ADX"
6,3,"CDX"
7,3,"CL"
8,3,"EL"
9,3,"ILX"
10,3,"Integra"
11,3,"Legend"
12,3,"MDX"
13,3,"NSX"
14,3,"RDX"
15,3,"RL"
16,3,"RLX"
17,3,"RSX"
18,3,"SLX"
19,3,"TL"
20,3,"TLX"
21,3,"TSX"
22,3,"Vigor"
23,3,"ZDX"
24,4,"M5"
25,4,"M7"
26,4,"M8"
27,4,"M9"
28,5,"U5"
29,5,"U6"
30,6,"33"
31,6,"33 Stradale"
32,6,"145"
33,6,"146"
34,6,"147"
35,6,"155"
36,6,"156"
37,6,"159"
38,6,"164"
39,6,"166"
40,6,"4C"
41,6,"75"
42,6,"8C"
43,6,"Brera"
44,6,"Giulia"
45,6,"Giulietta"
46,6,"GT"
47,6,"GTV"
48,6,"Junior"
49,6,"Milano"
50,6,"MiTo"
51,6,"Spider"
52,6,"Stelvio"
53,6,"Tonale"
54,7,"B10"
55,7,"B11"
56,7,"B12"
57,7,"B3"
58,7,"B4"
59,7,"B5"
60,7,"B6"
61,7,"B7"
62,7,"B8"
63,7,"B9"
64,7,"C1"
65,7,"C2"
66,7,"D10"
67,7,"D3"
68,7,"D4"
69,7,"D5"
70,7,"Roadster"
71,7,"XB7"
72,7,"XD3"
73,7,"XD4"
74,8,"A110"
75,8,"A290"
76,9,"Marlin"
77,10,"Alpha S"
78,10,"Alpha S5"
79,10,"Alpha S6"
80,10,"Alpha T"
81,10,"Alpha T1"
82,10,"Alpha T5"
83,10,"Alpha T6"
84,10,"Kaola"
85,10,"Lite"
86,11,"24"
87,12,"Rocsta"
88,13,"AR1"
89,13,"Cygnet"
90,13,"DB11"
91,13,"DB12"
92,13,"DB5"
93,13,"DB7"
94,13,"DB9"
95,13,"DBS"
96,13,"DBX"
97,13,"Lagonda"
98,13,"One-77"
99,13,"Rapide"
100,13,"Tickford Capri"
101,13,"Vanquish"
102,13,"Vantage"
103,13,"Virage"
104,13,"Zagato"
105,14,"50"
106,14,"80"
107,14,"90"
108,14,"100"
109,14,"200"
110,14,"A1"
111,14,"A2"
112,14,"A3"
113,14,"A4"
114,14,"A4 allroad quattro"
115,14,"A5"
116,14,"A6"
117,14,"A6 allroad quattro"
118,14,"A6 e-tron"
119,14,"A7"
120,14,"A8"
121,14,"Cabriolet"
122,14,"Coupe"
123,14,"e-tron"
124,14,"e-tron GT"
125,14,"e-tron S"
126,14,"e-tron Sportback"
127,14,"e-tron Sportback S"
128,14,"E5 Sportback"
129,14,"Q2"
130,14,"Q2 e-tron"
131,14,"Q3"
132,14,"Q3 Sportback"
133,14,"Q4 e-tron"
134,14,"Q4 Sportback e-tron"
135,14,"Q5"
136,14,"Q5 e-tron"
137,14,"Q5 Sportback"
138,14,"Q6"
139,14,"Q6 e-tron"
140,14,"Q6 e-tron Sportback"
141,14,"Q7"
142,14,"Q8"
143,14,"Q8 e-tron"
144,14,"Q8 Sportback e-tron"
145,14,"Quattro"
146,14,"Quattro Sport"
147,14,"R8"
148,14,"RS e-tron GT"
149,14,"RS Q3"
150,14,"RS Q3 Sportback"
151,14,"RS Q8"
152,14,"RS2"
153,14,"RS3"
154,14,"RS4"
155,14,"RS5"
156,14,"RS6"
157,14,"RS7"
158,14,"S1"
159,14,"S2"
160,14,"S3"
161,14,"S4"
162,14,"S5"
163,14,"S6"
164,14,"S6 e-tron"
165,14,"S7"
166,14,"S8"
167,14,"SQ2"
168,14,"SQ5"
169,14,"SQ5 Sportback"
170,14,"SQ6 e-tron"
171,14,"SQ6 e-tron Sportback"
172,14,"SQ7"
173,14,"SQ8"
174,14,"SQ8 e-tron"
175,14,"SQ8 Sportback e-tron"
176,14,"TT"
177,14,"TT RS"
178,14,"TTS"
179,14,"V8"
180,15,"06"
181,15,"07"
182,15,"11"
183,15,"12"
184,16,"BJ30"
185,16,"BJ40"
186,16,"BJ40 Plus"
187,16,"BJ60"
188,16,"BJ60 Thunder"
189,16,"BJ80"
190,16,"BJ90"
191,16,"BJEV EX5"
192,16,"EU5"
193,16,"EU5 Plus"
194,16,"EU7"
195,16,"EX3"
196,16,"Huansu S6"
197,16,"Rubics Cube"
198,16,"Ruixiang X3"
199,16,"Ruixiang X5"
200,16,"Senova E-Series"
201,16,"Senova X55"
202,16,"Senova Zhixing"
203,16,"U5"
204,16,"U5 Plus"
205,16,"U7"
206,16,"X3"
207,16,"X35"
208,16,"X5"
209,16,"X55"
210,16,"X7"
211,16,"X75"
212,17,"Qute"
213,18,"310"
214,18,"360"
215,18,"510"
216,18,"530"
217,18,"730"
218,18,"E100"
219,18,"E200"
220,18,"E300"
221,18,"KiWi EV"
222,18,"RC-5"
223,18,"RC-6"
224,18,"RM-5"
225,18,"RS-3"
226,18,"RS-5"
227,18,"RS-7"
228,18,"Valli"
229,18,"Yep"
230,18,"Yep Plus"
231,18,"Yunduo Cloud"
232,19,"B1000"
233,20,"Ace M7"
